transaction_id,sale_date,product_name,category,region,quantity,unit_price,discount_pct,tax_pct,total_amount,payment_method
1,2024-04-06,Laptop B,Accessories,Canada,7,4211,0,18,34782.86,UPI
2,2024-06-22,Smartphone A,Electronics,Germany,2,37777,0,12,84620.48,Cash
3,2024-10-10,Camera G,Electronics,UK,2,8176,15,12,15567.1,Card
4,2024-11-14,Monitor E,Accessories,Germany,9,3596,10,5,30583.98,Card
5,2024-11-19,Headphones C,Gadgets,Germany,6,20389,5,12,130163.38,Cash
6,2024-12-02,Monitor E,Electronics,Australia,6,6670,0,12,44822.4,Card
7,2024-11-04,Monitor E,Electronics,Australia,4,19327,15,12,73597.22,Cash
8,2024-05-30,Mouse F,Gadgets,Germany,5,21204,5,5,105754.95,Cash
9,2024-10-01,Camera G,Accessories,India,9,55594,15,5,446558.8,NetBanking
10,2024-04-02,Mouse F,Electronics,Australia,9,44255,15,5,355478.29,NetBanking
11,2024-02-05,Mouse F,Gadgets,Canada,2,56318,15,5,100527.63,NetBanking
12,2024-01-19,Camera G,Gadgets,Canada,5,9445,0,12,52892.0,Card
13,2024-03-22,Headphones C,Gadgets,India,6,31513,0,18,223112.04,Cash
14,2024-11-24,Tablet H,Accessories,UK,8,47477,10,18,403364.59,UPI
15,2024-08-13,Mouse F,Electronics,India,8,20277,0,18,191414.88,UPI
16,2024-10-12,Laptop B,Accessories,India,3,56776,5,12,181228.99,NetBanking
17,2024-10-15,Keyboard D,Electronics,Canada,4,50934,5,5,203226.66,Card
18,2024-08-12,Monitor E,Electronics,UK,9,46730,0,18,496272.6,Cash
19,2024-12-10,Keyboard D,Gadgets,Canada,10,31102,0,5,326571.0,Cash
20,2024-02-13,Monitor E,Accessories,Canada,7,22696,15,12,151246.14,Cash
21,2024-01-21,Tablet H,Gadgets,USA,7,55628,0,18,459487.28,Card
22,2024-05-20,Smartphone A,Accessories,Germany,7,29440,10,12,207728.64,Card
23,2024-03-05,Mouse F,Gadgets,Australia,3,25270,0,18,89455.8,UPI
24,2024-08-16,Mouse F,Gadgets,USA,3,36185,15,18,108880.66,Cash
25,2024-02-01,Mouse F,Gadgets,UK,5,52254,10,18,277468.74,NetBanking
26,2024-02-02,Smartphone A,Gadgets,Australia,9,7888,5,12,75535.49,Cash
27,2024-11-22,Headphones C,Gadgets,Germany,5,12378,15,5,55236.83,Card
28,2024-09-20,Mouse F,Gadgets,Canada,7,57507,15,5,359274.98,Card
29,2024-05-26,Monitor E,Electronics,Germany,5,54593,15,18,273783.89,Card
30,2024-07-13,Camera G,Electronics,USA,4,12681,10,18,53868.89,Card
31,2024-04-15,Keyboard D,Gadgets,India,2,47752,5,12,101616.26,NetBanking
32,2024-06-30,Camera G,Accessories,Canada,3,4523,5,18,15210.85,NetBanking
33,2024-02-06,Keyboard D,Electronics,Canada,5,9123,10,12,45979.92,NetBanking
34,2024-12-12,Monitor E,Accessories,India,2,7915,15,18,15877.49,NetBanking
35,2024-09-19,Tablet H,Electronics,USA,3,37267,0,5,117391.05,NetBanking
36,2024-01-14,Keyboard D,Gadgets,Canada,5,17958,15,5,80137.57,Card
37,2024-04-23,Laptop B,Electronics,USA,6,29165,15,12,166590.48,Cash
38,2024-05-30,Keyboard D,Accessories,Canada,6,50644,5,12,323311.3,UPI
39,2024-08-19,Smartphone A,Gadgets,Canada,3,42961,5,18,144477.84,Cash
